key,season,season_type,week,matchup_key,away_tla,home_tla,stage,raw_action,quality_action,quality_gate,confidence,market,side,selector_score,label,recommendation,source_health_status,data_quality_status,result,margin_to_line
KC@TB:initial,2026,PRE,PRE2,KC@TB,KC,TB,initial,pass,pass,warn,none,,,nan,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
LV@HOU:initial,2026,PRE,PRE2,LV@HOU,LV,HOU,initial,pass,pass,warn,none,,,nan,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
NO@LAR:initial,2026,PRE,PRE2,NO@LAR,NO,LAR,initial,pass,pass,warn,none,,,nan,❌ FADE,❌ AVOID: Multiple negative factors align,DEGRADED,DEGRADED,,
NYG@MIA:initial,2026,PRE,PRE2,NYG@MIA,NYG,MIA,initial,pass,pass,warn,none,,,nan,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
PHI@NE:initial,2026,PRE,PRE2,PHI@NE,PHI,NE,initial,pass,pass,warn,none,,,nan,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
SEA@TEN:initial,2026,PRE,PRE2,SEA@TEN,SEA,TEN,initial,lean,watch,warn,watch,,,nan,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
SF@LAC:initial,2026,PRE,PRE2,SF@LAC,SF,LAC,initial,pass,pass,warn,none,,,nan,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
WAS@DET:initial,2026,PRE,PRE2,WAS@DET,WAS,DET,initial,pass,pass,warn,none,,,nan,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
ARI@SEA:final,2026,REG,10,ARI@SEA,ARI,SEA,final,lean,watch,warn,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
ATL@IND:final,2026,REG,10,ATL@IND,ATL,IND,final,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
BAL@MIN:final,2026,REG,10,BAL@MIN,BAL,MIN,final,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
BUF@MIA:final,2026,REG,10,BUF@MIA,BUF,MIA,final,lean,watch,warn,watch,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
CLE@NYJ:final,2026,REG,10,CLE@NYJ,CLE,NYJ,final,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
DET@WAS:final,2026,REG,10,DET@WAS,DET,WAS,final,pass,pass,warn,none,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
JAX@HOU:final,2026,REG,10,JAX@HOU,JAX,HOU,final,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
LAR@SF:final,2026,REG,10,LAR@SF,LAR,SF,final,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
LV@DEN:final,2026,REG,10,LV@DEN,LV,DEN,final,pass,pass,warn,none,,,,❌ FADE,❌ AVOID: Multiple negative factors align,DEGRADED,DEGRADED,,
NE@TB:final,2026,REG,10,NE@TB,NE,TB,final,pass,pass,warn,none,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
NO@CAR:final,2026,REG,10,NO@CAR,NO,CAR,final,pass,pass,warn,none,,,,⚠️ PASS,⚠️ PASS: Edge score did not isolate a playable market,DEGRADED,DEGRADED,,
NYG@CHI:final,2026,REG,10,NYG@CHI,NYG,CHI,final,pass,pass,warn,none,,,,⚠️ PASS,"⚠️ PASS: Mixed signals, no clear edge identified",DEGRADED,DEGRADED,,
PHI@GB:final,2026,REG,10,PHI@GB,PHI,GB,final,pass,pass,warn,none,,,,❌ FADE,❌ AVOID: Multiple negative factors align,DEGRADED,DEGRADED,,
PIT@LAC:final,2026,REG,10,PIT@LAC,PIT,LAC,final,pass,pass,warn,none,,,,❌ FADE,❌ AVOID: Multiple negative factors align,DEGRADED,DEGRADED,,
ARI@LAR:initial,2025,REG,18,ARI@LAR,ARI,LAR,initial,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
BAL@PIT:initial,2025,REG,18,BAL@PIT,BAL,PIT,initial,pass,pass,clear,none,,,,📊 LEAN,👀 LEAN: Baltimore Ravens -3.5 (proceed with caution),,,,
CAR@TB:initial,2025,REG,18,CAR@TB,CAR,TB,initial,pass,pass,clear,none,,,,📊 LEAN,👀 LEAN: Carolina Panthers +2.5 (proceed with caution),,,,
CLE@CIN:final,2025,REG,18,CLE@CIN,CLE,CIN,final,pass,pass,clear,none,,,,🎯 TARGETED PLAY,🎯 TARGETED PLAY: Cleveland Browns +7.5,,,,
DAL@NYG:final,2025,REG,18,DAL@NYG,DAL,NYG,final,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
DET@CHI:initial,2025,REG,18,DET@CHI,DET,CHI,initial,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
GB@MIN:initial,2025,REG,18,GB@MIN,GB,MIN,initial,pass,pass,clear,none,,,,❌ FADE,❌ AVOID: Multiple negative factors align,,,,
IND@HOU:initial,2025,REG,18,IND@HOU,IND,HOU,initial,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
KC@LV:final,2025,REG,18,KC@LV,KC,LV,final,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
LAC@DEN:initial,2025,REG,18,LAC@DEN,LAC,DEN,initial,pass,pass,clear,none,,,,❌ FADE,❌ AVOID: Multiple negative factors align,,,,
MIA@NE:initial,2025,REG,18,MIA@NE,MIA,NE,initial,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
NO@ATL:initial,2025,REG,18,NO@ATL,NO,ATL,initial,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
NYJ@BUF:initial,2025,REG,18,NYJ@BUF,NYJ,BUF,initial,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
SEA@SF:initial,2025,REG,18,SEA@SF,SEA,SF,initial,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
TEN@JAX:initial,2025,REG,18,TEN@JAX,TEN,JAX,initial,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
WSH@PHI:initial,2025,REG,18,WSH@PHI,WAS,PHI,initial,pass,pass,clear,none,,,,❌ FADE,❌ AVOID: Multiple negative factors align,,,,
BUF@JAX:update,2025,,WC,BUF@JAX,BUF,JAX,update,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
GB@CHI:update,2025,,WC,GB@CHI,GB,CHI,update,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
HOU@PIT:update,2025,,WC,HOU@PIT,HOU,PIT,update,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
LAC@NE:update,2025,,WC,LAC@NE,LAC,NE,update,pass,pass,clear,none,,,,❌ FADE,❌ AVOID: Multiple negative factors align,,,,
LAR@CAR:update,2025,,WC,LAR@CAR,LAR,CAR,update,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
SF@PHI:update,2025,,WC,SF@PHI,SF,PHI,update,pass,pass,clear,none,,,,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,
